,Pointing_mean,Relevance Rank_mean,Relevance Mass_mean,AuC_mean,Pointing_std,Relevance Rank_std,Relevance Mass_std,AuC_std,transformer,epochs,Datasets,Typ,Generation,models,method,tsr
256,0.1,0.15666666666666668,0.12132601409804795,0.5763595593657816,0.30779350562554625,0.05453484856128546,0.03567507761224589,0.06024766062787039,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GS,False
257,0.05,0.16916666666666666,0.12896164939967486,0.599068860619469,0.22360679774997894,0.032115926711493346,0.02021049746122285,0.04810377881974566,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,IG,False
258,0.0,0.033125,0.04030713757413575,0.45542989491150443,0.0,0.017494516684809776,0.02179803516923877,0.06416206645267038,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GRAD,False
259,0.05,0.15583333333333332,0.16174981695645352,0.5274766777286135,0.22360679774997894,0.1511433036744071,0.19517356058465724,0.18279657569148375,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,FO,True
260,0.2,0.1320833333333333,0.12540022812793186,0.5345400995575222,0.4103913408340617,0.08523166743941435,0.06652024758637433,0.10955224900277385,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,SG,True
261,0.05,0.10416666666666667,0.10215881253045359,0.5054976032448378,0.22360679774997894,0.09519716382329885,0.06949414669610708,0.10968268397230051,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GS,True
262,0.5,0.39520833333333333,0.3249344151962207,0.7405171460176991,0.512989176042577,0.28101565935743433,0.2106051121106218,0.2820338498789662,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,IG,True
263,0.05,0.15020833333333333,0.16046575020560777,0.5378123617256637,0.22360679774997894,0.15451581492327415,0.19650170479621337,0.18501978266523386,,,SimulatedTrainingData_RareFeature_NARMA_F_50_TS_50.npy,RareFeature,NARMA,LSTM,GRAD,True
264,0.4,0.08041666666666666,0.08973182740351818,0.46468717735988196,0.5026246899500346,0.03807070599517115,0.008502586382065108,0.0483791952572556,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,,
265,0.8,0.2981249999999999,0.2476488124459259,0.644542772861357,0.41039134083406165,0.12772236514596624,0.14068598048523415,0.14637907346053347,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,FO,False
266,0.15,0.08458333333333334,0.09190179058749559,0.5249606379056048,0.36634754853252327,0.032531473738915226,0.016064374018711757,0.01985006259030575,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,SG,False
267,0.1,0.09770833333333333,0.0890034713896635,0.47510978982300883,0.30779350562554625,0.027917321280620393,0.015328796030184475,0.027508906424994796,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,GS,False
268,0.0,0.09166666666666666,0.08995391825600907,0.48864085545722713,0.0,0.02302109381054511,0.017212164844713516,0.015068131875929725,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,IG,False
269,0.0,0.058958333333333335,0.06832689421879122,0.5057678834808259,0.0,0.016405575557008816,0.015850665320087137,0.05295862007421255,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,GRAD,False
270,0.1,0.12312500000000001,0.14208816934770302,0.4425697363569322,0.30779350562554625,0.17057090990851148,0.22603826126029664,0.23319039011382126,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,FO,True
271,0.1,0.10416666666666667,0.10134602928506027,0.5049061578171091,0.30779350562554625,0.07204206048921813,0.05113661438090764,0.12410958719573525,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,SG,True
272,0.05,0.12020833333333333,0.11980960803566276,0.5096769911504425,0.22360679774997894,0.10702887891150047,0.13779097781981384,0.07940656113703422,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,GS,True
273,0.0,0.13729166666666665,0.1844083765775351,0.4644537241887905,0.0,0.18710960820453915,0.2634476869650411,0.22686028655626245,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,IG,True
274,0.15,0.11208333333333334,0.17420082582639754,0.46830613938053095,0.36634754853252327,0.1742774347671145,0.28298463411979957,0.22133984608628224,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,LSTM,GRAD,True
275,0.4,0.06458333333333333,0.06528764153116258,0.3405928742625369,0.5026246899500346,0.03223236632015234,0.008214632651531023,0.04302805817962955,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,,
276,1.0,0.11770833333333335,0.10960996135232084,0.5623617256637169,0.0,0.010195010102699853,0.00450965078887376,0.022072800661314645,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,FO,False
277,0.55,0.433125,0.22639438357519426,0.6428507098082595,0.5104177855340405,0.4072095056673505,0.1933937996209135,0.3756065626059962,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,SG,False
278,0.65,0.43500000000000005,0.4101727066619382,0.7691904959439527,0.4893604849295929,0.2958978802822953,0.2799585413314828,0.20863662011074705,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,GS,False
279,0.6,0.43812500000000004,0.4183023422708151,0.7768667957227139,0.5026246899500346,0.29725927345987835,0.28342497921834137,0.20050261000779726,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,IG,False
280,0.55,0.5408333333333333,0.42922447111502365,0.8076191924778762,0.5104177855340405,0.3762178081660762,0.2975043359779005,0.20952664025089193,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,GRAD,False
281,0.4,0.325625,0.29122686706524425,0.6210413901179941,0.5026246899500346,0.3327744080485258,0.2879322484851387,0.3505755012337225,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,FO,True
282,0.2,0.12333333333333332,0.10982308965561756,0.5151752396755163,0.4103913408340617,0.12683161005814567,0.06850823369801302,0.1516358697652651,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,SG,True
283,0.05,0.12083333333333335,0.10548995988399053,0.540291390117994,0.22360679774997894,0.11128732372131442,0.05799135563677424,0.1574075548825435,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,GS,True
284,0.3,0.33083333333333337,0.2809884255766348,0.6275244284660767,0.4701623459816272,0.34554231043982664,0.28886328704677733,0.36018217454851204,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,IG,True
285,0.25,0.2522916666666667,0.22148543329574127,0.5944359328908554,0.4442616583193193,0.3105552793076427,0.2573148175335087,0.33058054302305884,,,SimulatedTrainingData_RareFeature_Harmonic_F_50_TS_50.npy,RareFeature,Harmonic,CNN,GRAD,True
286,0.35,0.17645833333333333,0.10996628699743274,0.5873782724926254,0.4893604849295929,0.11717679044630916,0.01545709237116227,0.09266370038174084,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,,
287,,,,,,,,,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,FO,False
288,0.1,0.10645833333333335,0.1009819113835416,0.553429526179941,0.30779350562554625,0.04774664725990091,0.022717016658252306,0.02780267103013711,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,SG,False
289,0.2,0.18833333333333332,0.1372567844171771,0.6057540099557522,0.4103913408340617,0.05545202341289987,0.03863957588109137,0.03128725616125112,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,GS,False
290,0.2,0.17562499999999998,0.13208488706382923,0.5924911504424779,0.4103913408340617,0.04969341311499487,0.037510188528901554,0.02659028165768297,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,IG,False
291,0.0,0.04458333333333333,0.037679351497760714,0.5291428834808258,0.0,0.038784058791909194,0.0267518472896995,0.05107868827087943,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,GRAD,False
292,0.0,0.10291666666666668,0.0,,0.0,0.02422406975624772,,,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,FO,True
293,0.15,0.12020833333333333,0.11767952379743647,0.5277762721238937,0.36634754853252327,0.09941601226237173,0.10019739591003857,0.1486629885417505,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,SG,True
294,0.15,0.14562499999999998,0.13945970289353218,0.5336695243362832,0.36634754853252327,0.1075585910641075,0.1630827375228757,0.1464241494728774,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,GS,True
295,0.2,0.26395833333333335,0.2479730669564037,0.587307983038348,0.4103913408340617,0.25374128553583886,0.2536833537184861,0.19165793134977993,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,IG,True
296,0.05,0.39208333333333334,0.3936327573389663,0.7153248985988201,0.22360679774997894,0.2735371111377588,0.28708598422041737,0.23918233637419586,,,SimulatedTrainingData_RareFeature_CAR_F_50_TS_50.npy,RareFeature,CAR,LSTM,GRAD,True
297,0.4,0.06875,0.08117905620306623,0.40961209439528024,0.5026246899500346,0.04254555522032646,0.01692175088258073,0.10287937201416991,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,,
298,0.5,0.19854166666666667,0.3024620474847692,0.5978982300884955,0.512989176042577,0.15741466522368674,0.2917351150098542,0.13231937216713907,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,FO,False
299,0.5,0.13895833333333332,0.11297050915673146,0.5677912979351032,0.512989176042577,0.040629076493628874,0.011428687029979819,0.02204053544683806,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,SG,False
300,0.2,0.12458333333333334,0.10065668429421282,0.5455303281710913,0.4103913408340617,0.038802902013617004,0.03586016019618003,0.03157559951416044,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,GS,False
301,0.1,0.12895833333333334,0.1088882881234596,0.5482650258112095,0.30779350562554625,0.04711088310589756,0.036053317437187773,0.03464274337707614,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,IG,False
302,0.0,0.06333333333333332,0.046372452725824374,0.5166015855457227,0.0,0.0293882559986685,0.023302886477288117,0.023578312259067993,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,GRAD,False
303,0.1,0.21875,0.20243690141527834,0.6021812315634218,0.30779350562554625,0.18731472327490853,0.16910595576385865,0.1829799041906013,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,FO,True
304,0.1,0.089375,0.09714737428839587,0.48524216445427737,0.30779350562554625,0.07333028053853094,0.06579267179637482,0.12177079468740135,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,SG,True
305,0.1,0.11125,0.12436062908349961,0.501340615781711,0.30779350562554625,0.08567008833360519,0.2037466525047642,0.10619906280826914,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,GS,True
306,0.0,0.15041666666666667,0.15165006489176713,0.49467367256637174,0.0,0.19849994844373067,0.19945024327260336,0.18795569331376416,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,IG,True
307,0.1,0.18250000000000002,0.24549513698075437,0.5658220409292036,0.30779350562554625,0.1632523071490069,0.23883297269692008,0.18728226663599687,,,SimulatedTrainingData_RareFeature_Box_F_50_TS_50.npy,RareFeature,Box,LSTM,GRAD,True
308,0.3,0.1420833333333333,0.11786054138987774,0.6433142514749262,0.4701623459816272,0.12066231091295161,0.01794650547881707,0.11496305004352837,authentic_opposing_information,100,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,,
309,0.2,0.16749999999999998,0.138128802138142,0.5777101769911506,0.41039134083406165,0.16694932172186805,0.10035263039923321,0.11296115589237597,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,FO,False
310,0.0,0.14687499999999998,0.12139646220632765,0.6622323008849558,0.0,0.09569378665354175,0.04354438045658326,0.06283206880102145,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,SG,False
311,0.45,0.344375,0.21904420969867347,0.7663042035398229,0.5104177855340405,0.19101852176659398,0.11040855225885976,0.0985682572135165,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,GS,False
312,0.6,0.40041666666666664,0.2573694390004898,0.7967727691740414,0.5026246899500346,0.1526262539401818,0.09677125337901996,0.06298976640177915,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,IG,False
313,0.0,0.07208333333333335,0.06330040675351437,0.6101290099557523,0.0,0.0470065162833773,0.034756157973626106,0.08764136514246239,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,GRAD,False
314,0.1,0.16604166666666667,0.19009393319994497,0.5868692385693214,0.30779350562554625,0.12693872992499478,0.2098742739367705,0.14451950308810363,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,FO,True
315,0.25,0.12479166666666666,0.12951067870485874,0.5673141592920354,0.4442616583193193,0.06118462318291327,0.06711658860933092,0.08627831024108709,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,SG,True
316,0.1,0.13208333333333333,0.1338457971355072,0.5193089970501477,0.30779350562554625,0.07087975774845406,0.13181813132847287,0.08877143611538327,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,GS,True
317,0.65,0.4718750000000001,0.426885470350898,0.8473127765486727,0.4893604849295929,0.21124230063134466,0.19089609651389466,0.11333007371348437,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,IG,True
318,0.05,0.15958333333333333,0.1397607898768409,0.5853703908554572,0.22360679774997894,0.11465288957422443,0.1340387802432437,0.12695190623287095,,,SimulatedTrainingData_RareFeature_AutoRegressive_F_50_TS_50.npy,RareFeature,AutoRegressive,LSTM,GRAD,True
319,0.9,0.504,0.25506058727630704,0.8078013392857144,0.30779350562554625,0.09133296516765341,0.026138262570461614,0.08879341778048569,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,,
320,,,,,,,,,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,FO,False
321,0.0,0.09962499999999999,0.12645310257549208,0.491353869047619,0.0,0.11923626203555077,0.0792474214542457,0.16905727789081493,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,SG,False
322,0.05,0.157125,0.1292405288265984,0.506848392857143,0.22360679774997894,0.09135412228189123,0.07821534952902369,0.09564632059429348,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,GS,False
323,0.05,0.153375,0.14902843557941875,0.5105977976190477,0.22360679774997894,0.10316783400694332,0.07691312100591301,0.1082285164594534,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,IG,False
324,0.0,0.040249999999999994,0.015159591941027225,0.3425583630952382,0.0,0.08367740372846687,0.011973427373716388,0.13817625167076117,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,GRAD,False
325,,,,,,,,,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,FO,True
326,0.3,0.15874999999999997,0.1842809068936345,0.483937380952381,0.4701623459816272,0.04871709415757364,0.12285116857451725,0.0615842952056807,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,SG,True
327,0.2,0.15700000000000003,0.1694656143671075,0.507123630952381,0.4103913408340617,0.06262671365446135,0.20246287563464088,0.06873166961421888,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,GS,True
328,0.2,0.16375,0.1751621089163516,0.5180763690476191,0.41039134083406165,0.18129559317662178,0.19442461403719696,0.15953494046392244,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,IG,True
329,0.0,0.098375,0.09022866357724445,0.4339443452380952,0.0,0.10727569928877062,0.08102275750371081,0.11700267922219434,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,LSTM,GRAD,True
330,0.8,0.44000000000000006,0.23673825873881396,0.7391630952380953,0.41039134083406165,0.13177682489325412,0.035322061127264666,0.10452696219504816,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,,
331,0.4,0.21749999999999997,0.17964152424398977,0.549047619047619,0.5026246899500346,0.05683540408842658,0.021085289502112737,0.05043461899975844,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,FO,False
332,0.0,0.012625,0.06672374887534085,0.2312590178571429,0.0,0.03146086750568913,0.025497394897540663,0.0621526649901358,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,SG,False
333,0.3,0.20575000000000002,0.18803552894237288,0.5602354166666667,0.4701623459816272,0.056609814101722486,0.03252691267096792,0.049508178482693885,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,GS,False
334,0.2,0.19875,0.18481409429641485,0.5437472023809524,0.41039134083406165,0.05921359641163505,0.03412182235248554,0.04526085032383385,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,IG,False
335,0.05,0.04675,0.09743730143116126,0.3484650595238095,0.22360679774997894,0.039934980049812815,0.027644602316564716,0.06510968988890774,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,GRAD,False
336,0.15,0.10062499999999999,0.09232161124892102,0.33113255952380954,0.36634754853252327,0.15056008373997895,0.11827777313608673,0.17834263256715333,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,FO,True
337,0.25,0.159,0.15889599340316102,0.5022971428571428,0.4442616583193193,0.05107012722460013,0.0322958463114905,0.05483508792982709,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,SG,True
338,0.1,0.14325000000000002,0.1488946714693136,0.4703475595238095,0.30779350562554625,0.026496027507613484,0.017311747632350726,0.04265953155282197,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,GS,True
339,0.2,0.15099999999999997,0.12792922360243053,0.4096802380952381,0.41039134083406165,0.23440770824401347,0.16071226735376412,0.24829191256150066,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,IG,True
340,0.05,0.059750000000000004,0.054146535895651715,0.2763659226190476,0.22360679774997894,0.11272317045707478,0.07453668799836013,0.12776224616379134,,,SimulatedTrainingData_PostionalTime_NARMA_F_50_TS_50.npy,PostionalTime,NARMA,CNN,GRAD,True
341,0.55,0.25775000000000003,0.18710020429628715,0.5959176488095237,0.5104177855340404,0.07575453781787597,0.023892722559374163,0.08285289256926961,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,,
342,0.6,0.23999999999999994,0.19874568304500737,0.5880952380952382,0.5026246899500346,0.1176524766554359,0.0536493685445968,0.11510644108636132,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,FO,False
343,0.05,0.041875,0.07443625540222712,0.3366774702380953,0.22360679774997894,0.1047455406662913,0.06440756596110624,0.12927813167567961,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,SG,False
344,0.3,0.203,0.19052654761055515,0.5667986904761906,0.4701623459816272,0.09879404414181422,0.07120306619732072,0.06528868937886378,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,GS,False
345,0.35,0.19712500000000002,0.18841379308081843,0.568667619047619,0.48936048492959283,0.09241025162428224,0.07019774926186519,0.06370121825135878,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,IG,False
346,0.15,0.09637499999999999,0.10778595506407407,0.40784690476190477,0.36634754853252327,0.17530701452624553,0.12143581110415494,0.21648895685406244,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,GRAD,False
347,0.15,0.15775,0.15087084085181574,0.45477035714285713,0.36634754853252327,0.18234925280899839,0.16125518570512665,0.2521541030921813,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,FO,True
348,0.2,0.16887499999999997,0.1675914101370841,0.5171094047619048,0.4103913408340617,0.046108246493841445,0.037088310941053734,0.07148311130072786,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,SG,True
349,0.15,0.1455,0.14977716161267235,0.4785977976190475,0.36634754853252327,0.03448493187343988,0.025683119356964833,0.06171081125527321,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,GS,True
350,0.3,0.20612499999999997,0.20016387678140912,0.5415028571428572,0.4701623459816272,0.1802802551438644,0.1603634710297133,0.22128070848671572,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,IG,True
351,0.1,0.1435,0.13298436553973608,0.41800250000000005,0.30779350562554625,0.17791999976334721,0.1576652174584557,0.242491025514515,,,SimulatedTrainingData_PostionalTime_Harmonic_F_50_TS_50.npy,PostionalTime,Harmonic,CNN,GRAD,True
352,0.75,0.4393749999999999,0.24322124332735662,0.7565090476190478,0.4442616583193193,0.13593940939372876,0.03741287866825402,0.10788968397727024,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,,
353,0.15,0.11000000000000001,0.13176046647103584,0.46035714285714285,0.36634754853252327,0.059824304161611885,0.03684018325237034,0.05259142608472427,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,FO,False
354,0.0,0.06050000000000001,0.09641844885716364,0.46480973214285715,0.0,0.08266769241016138,0.05668189843760149,0.14379830149806216,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,SG,False
355,0.0,0.13025,0.10522489871288834,0.4816547023809524,0.0,0.07895660033741388,0.07663053957459943,0.0928980465404499,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,GS,False
356,0.0,0.167375,0.13463642852704671,0.5014695238095237,0.0,0.06587206000630073,0.06655769923508029,0.060960644010805844,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,IG,False
357,0.0,0.017625000000000002,0.02331883828475594,0.3313997619047619,0.0,0.032721663112410794,0.01986245223425786,0.0969905849055948,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,GRAD,False
358,0.0,0.113625,0.11046955715651166,0.4596124107142857,0.0,0.10629673894586943,0.11098874213833401,0.1195777141504606,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,FO,True
359,0.15,0.16612500000000002,0.16486919046756723,0.5081595833333333,0.36634754853252327,0.0389118014164557,0.03962940919864197,0.04692392092532146,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,SG,True
360,0.1,0.14625000000000002,0.1588658905235974,0.48726723214285705,0.30779350562554625,0.029317903637269337,0.07505363925482414,0.03155466438299448,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,GS,True
361,0.15,0.14862499999999998,0.1506573559739482,0.4850564285714286,0.36634754853252327,0.13711902964021327,0.14112709429213255,0.12672143193505997,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,IG,True
362,0.0,0.10062499999999999,0.09160300755501917,0.4487349404761905,0.0,0.10023943375212854,0.09837415723606795,0.1285684627200593,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,LSTM,GRAD,True
363,0.75,0.47387500000000016,0.24753345978578434,0.7815623214285715,0.4442616583193193,0.13344246493290066,0.03608936854148481,0.10990454421786655,authentic_opposing_information,100,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,CNN,,
364,0.65,0.25,0.1973548589969367,0.5800595238095239,0.48936048492959283,0.09597148699373931,0.04109865188661138,0.0936974979296239,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,CNN,FO,False
365,0.0,0.003125,0.04383454759775352,0.19143976190476192,0.0,0.0086555047893173,0.020666777362362998,0.027088426526521964,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,CNN,SG,False
366,0.5,0.211625,0.19341945807265598,0.5557432738095238,0.512989176042577,0.046220830061552844,0.026740344511966954,0.03956967801711983,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,CNN,GS,False
367,0.4,0.19212500000000002,0.18079635483743728,0.524091130952381,0.5026246899500346,0.041336830461848176,0.027898281813796662,0.042104496315577895,,,SimulatedTrainingData_PostionalTime_CAR_F_50_TS_50.npy,PostionalTime,CAR,CNN,IG,False
